Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,会社の満足度,職務満足度,会社の将来像への期待,顧客視点意識,貢献意欲,勤続意思,効果的チーム,理念・ビジョンの認知,理念・ビジョンの理解,公平な評価,活躍のチャンス,内容が変化に富んでいるか,技能多様性,タスク完結性,タスク重要性,自由・決定権があるか（自律性）,フィードバックはあるか,賃金の納得性,福利厚生の充実,ハラスメント,不平不満,社会的手抜き,安全管理,衛生管理,５Ｓ,労務管理,その他気になる箇所,知識付与（自身が受ける側）,部下育成知識（自身が教える側）,部下育成ツール（自身が教える側）,店長のリーダーシップ（指示型）,店長のリーダーシップ（支援・参加型）,店長のリーダーシップ（課題達成志向型）,店長の承認行動,店長の育成マインド,意見具申,上司の承認行動,上司の育成マインド,上司への意見具申,同僚との関係（フォロー）,同僚との関係（指摘）,同僚との関係（仕事以外）,同僚（他店店長）との関係,同僚（他店店長）との関係（指摘）,同僚（他店店長）との関係（仕事以外）,従業員のタイプ,権限委譲,公式化の度合い,傾聴スキル,役割の明確化,十分な資源,効果的なリーダーシップ,信頼関係のある環境,業績評価と報酬システム,メンバーの能力,パーソナリティ,役割の割り当て,多様性,チームの規模,メンバーの柔軟性,メンバーの嗜好,共通の目的,具体的な目標,チームの自信感,コンフリクトの程度
Feb-26,H01,外食事業本部,D03,店舗運営3部,S01,課1,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200008,,1009,1009店,店長,パート,200008,,2005,1979-05-23,R200008,25,0,1,1,,,,3,3,3,3,3,3,4,2,4,5,2,2,3,3,5,2,5,3,2,4,3,3,3,3,4,3,1,4,4,5,2,5,2,5,4,5,5,5,4,5,5,5,5,4,3,1,3,3,5,4,3,4,4,3,4,5,5,5,3,5,5,3,2,4,3
Feb-26,H01,外食事業本部,D01,店舗運営1部,S02,課2,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200009,,1010,1010店,店長,アルバイト,200009,,2011,1981-01-26,R200009,6,0,1,1,,,,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,4,5,4,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Feb-26,H01,外食事業本部,D02,店舗運営2部,S03,課3,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200010,,1011,1011店,店長,パート,200010,,2022,2004-11-05,R200010,0,0,1,1,,,,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,5,5,3,4,5,2,2,5,4,4,5,5,5,4,4,4,4,4,5,5,4,5,4,4,4,3,4,5,3,5,5,4,5,5,5,5,4,4,4,3,3,4,3,3,3,3,4,4,3,2
Feb-26,H01,外食事業本部,D03,店舗運営3部,S04,課4,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200011,,1012,1012店,店長,アルバイト,200011,,2013,1981-10-14,R200011,16,0,1,1,,,,4,4,4,5,5,4,5,5,5,4,5,4,4,5,5,4,4,2,2,4,2,5,4,5,4,4,2,2,5,3,2,4,3,3,4,5,4,5,4,4,2,4,4,3,4,2,5,4,4,5,4,4,3,4,2,3,4,3,4,5,2,4,4,4,3
Feb-26,H01,外食事業本部,D01,店舗運営1部,S01,課1,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200012,,1013,1013店,店長,社員,200012,,2012,1992-08-14,R200012,25,0,1,1,,,,4,4,3,4,4,4,3,5,4,3,4,5,5,4,3,4,4,3,3,5,5,3,1,5,3,4,2,4,3,3,4,4,3,4,3,5,4,4,5,4,4,5,2,2,2,5,3,3,5,4,3,2,4,1,3,3,3,3,3,3,3,3,3,3,4
Feb-26,H01,外食事業本部,D02,店舗運営2部,S02,課2,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200013,,1014,1014店,店長,社員,200013,,2006,1988-06-11,R200013,21,0,1,1,,,,3,2,4,4,3,3,2,3,4,5,2,3,3,5,4,4,3,5,3,5,2,3,2,4,4,3,3,2,3,2,2,4,3,3,4,4,3,3,3,4,3,3,4,4,5,5,5,3,4,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,2
Feb-26,H01,外食事業本部,D03,店舗運営3部,S03,課3,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200014,,1015,1015店,店長,アルバイト,200014,,2023,1980-10-20,R200014,0,0,1,1,,,,3,3,4,3,3,3,3,4,4,5,5,3,4,3,4,3,5,3,3,4,3,5,5,4,3,5,4,3,3,3,3,3,2,2,2,3,5,4,3,4,3,5,3,3,3,2,3,3,3,2,3,5,4,3,2,3,3,3,3,3,2,3,3,3,3
Feb-26,H01,外食事業本部,D01,店舗運営1部,S04,課4,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200015,,1016,1016店,店長,アルバイト,200015,,2018,1990-04-13,R200015,18,0,1,1,,,,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,2,5,5,5,5,3,2,1,2,4,4,5,4,1,1,4,1,1,2,4
Feb-26,H01,外食事業本部,D02,店舗運営2部,S01,課1,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200016,,1017,1017店,店長,社員,200016,,2014,1993-09-04,R200016,11,0,1,1,,,,5,4,4,5,4,5,4,5,4,4,4,3,4,4,4,2,4,5,5,2,2,2,2,2,4,4,3,4,4,4,3,3,5,4,4,4,4,3,5,4,3,4,4,4,3,4,3,3,3,5,4,4,4,3,3,3,3,3,4,3,4,4,3,3,3
Feb-26,H01,外食事業本部,D03,店舗運営3部,S02,課2,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200017,,1018,1018店,店長,アルバイト,200017,,2012,1990-08-23,R200017,4,0,1,1,,,,5,3,5,4,5,5,3,4,4,5,5,5,5,4,5,4,4,3,4,5,4,4,5,4,4,4,4,4,4,3,4,5,4,4,3,5,5,4,5,4,3,3,4,3,4,2,5,4,4,5,3,5,4,3,4,4,4,4,3,3,3,3,3,3,3
Feb-26,H01,外食事業本部,D01,店舗運営1部,S03,課3,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200018,,1019,1019店,店長,アルバイト,200018,,2006,1982-05-16,R200018,0,0,1,1,,,,3,3,3,5,3,3,3,3,3,4,4,2,3,2,3,2,4,5,4,4,3,3,4,3,3,4,1,4,3,3,2,4,2,2,2,5,4,4,5,5,5,4,5,5,3,5,4,4,4,3,2,5,5,2,3,5,5,4,5,5,5,2,2,3,2
Feb-26,H01,外食事業本部,D02,店舗運営2部,S04,課4,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200019,,1020,1020店,店長,アルバイト,200019,,2011,1986-06-18,R200019,10,0,1,1,,,,3,3,4,2,4,3,2,4,4,3,3,4,4,5,4,5,2,3,3,2,2,1,2,3,3,3,3,2,3,2,2,3,3,3,3,3,2,2,5,3,3,5,3,3,2,1,5,3,3,5,2,4,2,2,3,3,3,3,3,3,3,2,2,2,2
Feb-26,H01,外食事業本部,D03,店舗運営3部,S01,課1,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200000,,1001,1001店,店長,パート,200020,,2009,1974-03-24,R200020,16,0,1,1,,,,4,4,5,4,5,5,5,5,4,4,5,3,4,3,5,2,5,4,5,3,2,3,5,5,4,5,5,5,3,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,4,2,4,3,4,5,5,2,4,3,4,4,5,4,5,1,4,2,3,4,3
Feb-26,H01,外食事業本部,D01,店舗運営1部,S02,課2,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200001,,1002,1002店,店長,アルバイト,200021,,2019,1997-06-19,R200021,1,0,1,1,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Feb-26,H01,外食事業本部,D02,店舗運営2部,S03,課3,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200002,,1003,1003店,店長,社員,200022,,2021,1974-02-23,R200022,24,0,1,1,,,,5,5,5,5,5,5,3,5,4,2,4,3,5,4,3,3,3,3,3,4,3,4,5,5,4,5,3,5,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,3,5,4,5,5,3,3,3,5,3,5,3,3,3,5,4,4,4,3,4,5,3
Feb-26,H01,外食事業本部,D03,店舗運営3部,S04,課4,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200003,,1004,1004店,店長,パート,200023,,2013,1970-11-09,R200023,11,0,1,1,,,,4,4,4,5,4,4,4,5,4,4,4,4,5,3,4,3,2,2,3,3,2,2,2,5,3,4,2,4,4,3,3,5,3,3,3,5,2,2,1,5,5,5,5,4,4,5,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,2,3,4,3
Feb-26,H01,外食事業本部,D01,店舗運営1部,S01,課1,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200004,,1005,1005店,店長,パート,200024,,2025,1983-10-16,R200024,25,0,1,1,,,,5,5,4,3,5,5,5,5,4,5,5,3,4,3,3,3,5,5,3,3,2,3,4,3,3,5,5,4,4,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,1,4,3,4,4,5,4,5,3,4,5,5,3,5,4,4,5,5,4,3
Feb-26,H01,外食事業本部,D02,店舗運営2部,S02,課2,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200005,,1006,1006店,店長,社員,200025,,2014,1992-12-10,R200025,9,0,1,1,,,,5,5,4,5,5,5,4,5,5,4,4,5,5,4,4,4,5,4,4,5,3,5,5,5,4,4,4,5,4,4,3,5,4,4,4,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,4,4,5,4,4,4,5,5,5,5,4,4,5,4
Feb-26,H01,外食事業本部,D03,店舗運営3部,S03,課3,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200006,,1007,1007店,店長,アルバイト,200026,,2006,1989-01-23,R200026,22,0,1,1,,,,4,4,3,5,4,4,3,5,4,4,4,4,3,4,4,4,5,5,4,5,3,3,4,3,3,4,3,3,5,3,3,4,3,4,3,5,5,3,5,3,3,4,3,3,3,3,4,4,5,5,3,3,3,3,3,3,3,3,2,3,5,3,3,3,3
Feb-26,H01,外食事業本部,D01,店舗運営1部,S04,課4,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200007,,1008,1008店,店長,社員,200027,,2010,2002-08-02,R200027,1,0,1,1,,,,5,3,5,5,5,5,3,5,5,3,3,3,3,5,5,3,3,3,3,3,2,3,4,5,2,3,1,3,3,3,3,3,3,1,3,1,3,3,3,3,3,3,5,5,5,1,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3
Feb-26,H01,外食事業本部,D02,店舗運営2部,S01,課1,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200008,,1009,1009店,店長,社員,200028,,2011,1973-12-27,R200028,5,0,1,1,,,,4,4,5,4,5,4,4,5,4,4,5,4,4,3,5,5,5,4,5,3,2,3,3,3,3,5,3,4,4,4,3,5,3,4,5,4,5,4,5,4,4,4,4,4,3,5,5,5,5,5,5,5,3,3,2,3,4,4,5,5,4,4,4,5,4
Feb-26,H01,外食事業本部,D03,店舗運営3部,S02,課2,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200009,,1010,1010店,店長,アルバイト,200029,,2022,1986-07-18,R200029,16,0,1,1,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,2,4,4,5,5,4,3,5,5,5,5,5,4,4,4,5,4,4,4,5,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,3,4,5,5,5,5,5,5,4,5
Feb-26,H01,外食事業本部,D01,店舗運営1部,S03,課3,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200010,,1011,1011店,店長,パート,200030,,2012,1993-11-03,R200030,24,0,1,1,,,,4,4,5,5,4,4,4,5,5,4,4,3,4,5,5,4,3,4,3,4,2,4,1,5,3,4,1,2,4,4,4,4,4,4,4,3,4,3,5,4,2,4,4,4,3,3,5,5,5,5,3,2,4,3,3,3,4,3,5,5,4,4,3,3,2
Feb-26,H01,外食事業本部,D02,店舗運営2部,S04,課4,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200011,,1012,1012店,店長,社員,200031,,2014,1976-06-06,R200031,19,0,1,1,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,5,3,3,5,5,4,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,4,3,4,4,5,4,5
Feb-26,H01,外食事業本部,D03,店舗運営3部,S01,課1,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200012,,1013,1013店,店長,社員,200032,,2025,1990-03-11,R200032,0,0,1,1,,,,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,5,5,4,1,3,2,3,5,3,5,2,5,3,3,4,5,2,3,3,5,3,5,4,2,2,2,3,3,2,3,5,4,4,5,3,5,2,2,3,3,5,4,2,5,3,3,3,2,3
Feb-26,H01,外食事業本部,D01,店舗運営1部,S02,課2,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200013,,1014,1014店,店長,アルバイト,200033,,2012,1988-05-05,R200033,15,0,1,1,,,,3,3,5,5,5,4,4,5,4,3,5,4,3,5,5,4,4,2,2,3,3,4,3,5,4,3,2,3,4,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,4,3,3,3,3,5,3,3,3,3,3,4,4,4,4,4,4,4,4
Feb-26,H01,外食事業本部,D02,店舗運営2部,S03,課3,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200014,,1015,1015店,社員,パート,200034,,2013,1986-10-22,R200034,10,0,0,1,,,,5,5,5,5,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,3,3,3,3,3,4,5,3,5,4,3,4,5,3,5,5,5,5,5,5,5,5,5,5,3,3,1,5,5,3,5,3,5,4,4,5,4,5,5,4,3,5,5,5,4,5
Feb-26,H01,外食事業本部,D03,店舗運営3部,S04,課4,T01,係1,A01,関東,IND01,外食,ST01,居酒屋,200015,,1016,1016店,社員,アルバイト,200035,,2011,1993-04-08,R200035,16,0,0,1,,,,4,3,4,4,4,3,2,4,4,4,3,2,3,5,4,5,4,4,3,4,4,4,4,4,3,3,2,4,3,2,4,5,4,4,4,4,4,4,4,4,2,4,5,4,2,4,4,3,3,4,4,4,3,4,3,3,3,2,5,4,2,2,2,2,2
Feb-26,H01,外食事業本部,D01,店舗運営1部,S01,課1,T02,係2,A02,関西,IND01,外食,ST01,居酒屋,200016,,1017,1017店,社員,社員,200036,,2008,1980-04-14,R200036,22,0,0,1,,,,5,5,3,3,3,4,4,4,4,4,5,4,5,5,5,5,4,3,3,3,5,3,3,5,5,5,3,5,4,3,3,5,5,5,4,3,5,4,3,3,4,5,5,5,3,4,3,4,3,3,4,3,3,4,4,3,3,5,4,4,3,3,4,4,4
Feb-26,H01,外食事業本部,D02,店舗運営2部,S02,課2,T03,係3,A03,中部,IND01,外食,ST01,居酒屋,200017,,1018,1018店,社員,社員,200037,,2021,1999-05-14,R200037,15,0,0,1,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,2,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5
Feb-26,H01,外食事業本部,D03,店舗運営3部,S03,課3,T04,係4,A04,東北,IND01,外食,ST01,居酒屋,200018,,1019,1019店,社員,社員,200038,,2019,1993-03-22,R200038,14,0,0,1,,,,3,2,4,4,5,3,3,2,5,4,2,3,4,4,4,3,5,3,3,5,3,4,3,4,2,1,5,2,4,4,4,3,5,3,4,3,3,4,3,5,5,3,3,3,5,4,5,4,5,2,4,4,2,3,5,3,3,4,3,2,3,4,4,5,5
Feb-26,H01,外食事業本部,D01,店舗運営1部,S04,課4,T05,係5,A05,九州,IND01,外食,ST01,居酒屋,200019,,1020,1020店,社員,パート,200039,,2006,1994-05-18,R200039,18,0,0,1,,,,3,3,3,3,3,3,3,3,3,3,3,1,1,4,3,5,3,2,4,4,4,4,4,5,4,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,5,5,1,1,2,3,3,3,3,4,3,4,4,3,3,3,3,2,4,5,3,3,3,3
